 

stn;time;prestas0;qprestas0
LUZ;202301040210;977.7;4
LUZ;202301040220;977.6;4
LUZ;202301040230;977.5;4
LUZ;202301040240;977.6;4
LUZ;202301040250;977.5;4
LUZ;202301040300;977.4;4
LUZ;202301040310;977.5;4
LUZ;202301040320;977.5;4
LUZ;202301040330;977.5;4
LUZ;202301040340;977.4;4
LUZ;202301040350;977.3;4
LUZ;202301040400;977.1;4
LUZ;202301040410;977.1;4
LUZ;202301040420;976.9;4
LUZ;202301040430;976.8;4
LUZ;202301040440;976.8;4
LUZ;202301040450;977.0;4
LUZ;202301040500;977.1;4
LUZ;202301040510;977.0;4
LUZ;202301040520;977.1;4
LUZ;202301040530;977.1;4
LUZ;202301040540;977.2;4
LUZ;202301040550;977.2;4
LUZ;202301040600;977.3;4
LUZ;202301040610;977.3;4
LUZ;202301040620;977.2;4
LUZ;202301040630;977.2;4
LUZ;202301040640;977.1;4
LUZ;202301040650;977.1;4
LUZ;202301040700;977.1;4
LUZ;202301040710;977.2;4
LUZ;202301040720;977.2;4
LUZ;202301040730;977.3;4
LUZ;202301040740;977.1;4
LUZ;202301040750;977.3;4
LUZ;202301040800;977.3;4
LUZ;202301040810;977.4;4
LUZ;202301040820;977.4;4
LUZ;202301040830;977.4;4
LUZ;202301040840;977.6;4
LUZ;202301040850;977.7;4
LUZ;202301040900;977.6;4
LUZ;202301040910;977.5;4
LUZ;202301040920;977.6;4
LUZ;202301040930;977.6;4
LUZ;202301040940;977.6;4
LUZ;202301040950;977.7;4
LUZ;202301041000;977.6;4
LUZ;202301041010;977.7;4
LUZ;202301041020;977.6;4
LUZ;202301041030;977.4;4
LUZ;202301041040;977.2;4
LUZ;202301041050;977.0;4
LUZ;202301041100;976.8;4
LUZ;202301041110;976.8;4
LUZ;202301041120;976.8;4
LUZ;202301041130;976.7;4
LUZ;202301041140;976.6;4
LUZ;202301041150;976.5;4
LUZ;202301041200;976.4;4
LUZ;202301041210;976.1;4
LUZ;202301041220;976.0;4
LUZ;202301041230;975.9;4
LUZ;202301041240;975.9;4
LUZ;202301041250;975.8;4
LUZ;202301041300;975.8;4
LUZ;202301041310;975.7;4
LUZ;202301041320;975.5;4
LUZ;202301041330;975.5;4
LUZ;202301041340;975.4;4
LUZ;202301041350;975.3;4
LUZ;202301041400;975.2;4
LUZ;202301041410;975.2;4
LUZ;202301041420;975.2;4
LUZ;202301041430;975.3;4
LUZ;202301041440;975.3;4
LUZ;202301041450;975.3;4
LUZ;202301041500;975.3;4
LUZ;202301041510;975.4;4
LUZ;202301041520;975.4;4
LUZ;202301041530;975.4;4
LUZ;202301041540;975.4;4
LUZ;202301041550;975.5;4
LUZ;202301041600;975.5;4
LUZ;202301041610;975.5;4
LUZ;202301041620;975.4;4
LUZ;202301041630;975.3;4
LUZ;202301041640;975.3;4
LUZ;202301041650;975.4;4
LUZ;202301041700;975.4;4
LUZ;202301041710;975.3;4
LUZ;202301041720;975.2;4
LUZ;202301041730;975.1;4
LUZ;202301041740;975.2;4
LUZ;202301041750;975.0;4
LUZ;202301041800;975.0;4
LUZ;202301041810;975.0;4
LUZ;202301041820;974.9;4
LUZ;202301041830;974.9;4
LUZ;202301041840;974.8;4
LUZ;202301041850;974.7;4
LUZ;202301041900;974.7;4
LUZ;202301041910;974.7;4
LUZ;202301041920;974.8;4
LUZ;202301041930;974.7;4
LUZ;202301041940;974.8;4
LUZ;202301041950;974.8;4
LUZ;202301042000;974.8;4
LUZ;202301042010;974.7;4
LUZ;202301042020;974.6;4
LUZ;202301042030;974.5;4
LUZ;202301042040;974.4;4
LUZ;202301042050;974.3;4
LUZ;202301042100;974.2;4
LUZ;202301042110;974.1;4
LUZ;202301042120;974.1;4
LUZ;202301042130;974.0;4
LUZ;202301042140;974.0;4
LUZ;202301042150;974.0;4
LUZ;202301042200;973.9;4
LUZ;202301042210;973.8;4
LUZ;202301042220;973.8;4
LUZ;202301042230;973.8;4
LUZ;202301042240;973.7;4
LUZ;202301042250;973.7;4
LUZ;202301042300;973.8;4
LUZ;202301042310;973.8;4
LUZ;202301042320;974.0;4
LUZ;202301042330;974.0;4
LUZ;202301042340;973.7;4
LUZ;202301042350;973.6;4
LUZ;202301050000;973.7;4
LUZ;202301050010;973.7;4
LUZ;202301050020;973.6;4
LUZ;202301050030;973.5;4
LUZ;202301050040;973.3;4
LUZ;202301050050;973.2;4
LUZ;202301050100;973.1;4
LUZ;202301050110;973.1;4
LUZ;202301050120;972.9;4
LUZ;202301050130;972.9;4
LUZ;202301050140;973.0;4
LUZ;202301050150;972.9;4
LUZ;202301050200;972.8;4
LUZ;202301050210;972.6;4
LUZ;202301050220;972.5;4
LUZ;202301050230;972.5;4
LUZ;202301050240;972.5;4
LUZ;202301050250;972.4;4
LUZ;202301050300;972.3;4
LUZ;202301050310;972.2;4
LUZ;202301050320;972.1;4
LUZ;202301050330;972.1;4
LUZ;202301050340;972.1;4
LUZ;202301050350;972.3;4
LUZ;202301050400;972.2;4
LUZ;202301050410;972.3;4
LUZ;202301050420;972.1;4
LUZ;202301050430;972.0;4
LUZ;202301050440;972.1;4
LUZ;202301050450;972.1;4
LUZ;202301050500;972.1;4
LUZ;202301050510;972.2;4
LUZ;202301050520;972.2;4
LUZ;202301050530;972.1;4
LUZ;202301050540;972.2;4
LUZ;202301050550;972.3;4
LUZ;202301050600;972.4;4
LUZ;202301050610;972.5;4
LUZ;202301050620;972.6;4
LUZ;202301050630;972.7;4
LUZ;202301050640;972.7;4
LUZ;202301050650;972.7;4
LUZ;202301050700;972.7;4
LUZ;202301050710;972.7;4
LUZ;202301050720;972.8;4
LUZ;202301050730;973.0;4
LUZ;202301050740;972.9;4
LUZ;202301050750;973.0;4
LUZ;202301050800;973.1;4
LUZ;202301050810;973.2;4
LUZ;202301050820;973.2;4
LUZ;202301050830;973.2;4
LUZ;202301050840;973.2;4
LUZ;202301050850;973.3;4
LUZ;202301050900;973.5;4
LUZ;202301050910;973.6;4
LUZ;202301050920;973.7;4
LUZ;202301050930;973.7;4
LUZ;202301050940;973.8;4
LUZ;202301050950;973.9;4
LUZ;202301051000;974.1;4
LUZ;202301051010;974.0;4
LUZ;202301051020;973.9;4
LUZ;202301051030;973.7;4
LUZ;202301051040;973.7;4
LUZ;202301051050;973.6;4
LUZ;202301051100;973.6;4
LUZ;202301051110;973.5;4
LUZ;202301051120;973.4;4
LUZ;202301051130;973.3;4
LUZ;202301051140;973.3;4
LUZ;202301051150;973.3;4
LUZ;202301051200;973.3;4
LUZ;202301051210;973.2;4
LUZ;202301051220;973.1;4
LUZ;202301051230;973.1;4
LUZ;202301051240;973.1;4
LUZ;202301051250;973.0;4
LUZ;202301051300;972.9;4
LUZ;202301051310;972.9;4
LUZ;202301051320;972.9;4
LUZ;202301051330;972.8;4
LUZ;202301051340;972.8;4
LUZ;202301051350;972.7;4
LUZ;202301051400;972.8;4
LUZ;202301051410;972.8;4
LUZ;202301051420;972.7;4
LUZ;202301051430;972.7;4
LUZ;202301051440;972.8;4
LUZ;202301051450;972.8;4
LUZ;202301051500;972.9;4
LUZ;202301051510;972.9;4
LUZ;202301051520;973.0;4
LUZ;202301051530;973.0;4
LUZ;202301051540;973.1;4
LUZ;202301051550;973.2;4
LUZ;202301051600;973.1;4
LUZ;202301051610;973.1;4
LUZ;202301051620;973.1;4
LUZ;202301051630;973.1;4
LUZ;202301051640;973.2;4
LUZ;202301051650;973.1;4
LUZ;202301051700;973.2;4
LUZ;202301051710;973.2;4
LUZ;202301051720;973.1;4
LUZ;202301051730;973.1;4
LUZ;202301051740;973.1;4
LUZ;202301051750;973.1;4
LUZ;202301051800;973.1;4
LUZ;202301051810;973.1;4
LUZ;202301051820;973.1;4
LUZ;202301051830;973.1;4
LUZ;202301051840;973.1;4
LUZ;202301051850;973.1;4
LUZ;202301051900;973.1;4
LUZ;202301051910;973.1;4
LUZ;202301051920;973.0;4
LUZ;202301051930;972.9;4
LUZ;202301051940;972.8;4
LUZ;202301051950;972.7;4
LUZ;202301052000;972.6;4
LUZ;202301052010;972.6;4
LUZ;202301052020;972.5;4
LUZ;202301052030;972.3;4
LUZ;202301052040;972.3;4
LUZ;202301052050;972.3;4
LUZ;202301052100;972.3;4
LUZ;202301052110;972.2;4
LUZ;202301052120;972.1;4
LUZ;202301052130;972.1;4
LUZ;202301052140;972.1;4
LUZ;202301052150;972.1;4
LUZ;202301052200;972.0;4
LUZ;202301052210;972.0;4
LUZ;202301052220;971.9;4
LUZ;202301052230;971.8;4
LUZ;202301052240;971.8;4
LUZ;202301052250;971.7;4
LUZ;202301052300;971.7;4
LUZ;202301052310;971.6;4
LUZ;202301052320;971.4;4
LUZ;202301052330;971.3;4
