 

stn;time;fu3010z0;qfu3010z0
LUZ;202301050530;4.3;0
LUZ;202301050540;2.9;0
LUZ;202301050550;3.6;0
LUZ;202301050600;4.7;0
LUZ;202301050610;4.0;0
LUZ;202301050620;3.2;0
LUZ;202301050630;6.5;0
LUZ;202301050640;5.0;0
LUZ;202301050650;5.0;0
LUZ;202301050700;1.8;0
LUZ;202301050710;2.9;0
LUZ;202301050720;2.5;0
LUZ;202301050730;1.4;0
LUZ;202301050740;4.3;0
LUZ;202301050750;6.5;0
LUZ;202301050800;3.2;0
LUZ;202301050810;1.8;0
LUZ;202301050820;2.9;0
LUZ;202301050830;3.6;0
LUZ;202301050840;1.4;0
LUZ;202301050850;2.2;0
LUZ;202301050900;2.5;0
LUZ;202301050910;2.9;0
LUZ;202301050920;4.3;0
LUZ;202301050930;2.5;0
LUZ;202301050940;4.7;0
LUZ;202301050950;2.5;0
LUZ;202301051000;5.0;0
LUZ;202301051010;10.8;0
LUZ;202301051020;8.6;0
LUZ;202301051030;8.3;0
LUZ;202301051040;5.8;0
LUZ;202301051050;4.7;0
LUZ;202301051100;3.6;0
LUZ;202301051110;7.6;0
LUZ;202301051120;6.5;0
LUZ;202301051130;7.2;0
LUZ;202301051140;7.9;0
LUZ;202301051150;4.0;0
LUZ;202301051200;7.2;0
LUZ;202301051210;4.0;0
LUZ;202301051220;2.9;0
LUZ;202301051230;5.0;0
LUZ;202301051240;6.5;0
LUZ;202301051250;6.1;0
LUZ;202301051300;5.0;0
LUZ;202301051310;2.2;0
LUZ;202301051320;2.9;0
LUZ;202301051330;2.2;0
LUZ;202301051340;2.2;0
LUZ;202301051350;4.0;0
LUZ;202301051400;4.0;0
LUZ;202301051410;3.6;0
LUZ;202301051420;3.2;0
LUZ;202301051430;4.3;0
LUZ;202301051440;4.3;0
LUZ;202301051450;0.4;0
LUZ;202301051500;0.7;0
LUZ;202301051510;2.5;0
LUZ;202301051520;3.6;0
LUZ;202301051530;3.2;0
LUZ;202301051540;2.2;0
LUZ;202301051550;6.1;0
LUZ;202301051600;4.7;0
LUZ;202301051610;5.0;0
LUZ;202301051620;2.9;0
LUZ;202301051630;3.6;0
LUZ;202301051640;4.3;0
LUZ;202301051650;4.0;0
LUZ;202301051700;3.6;0
LUZ;202301051710;2.2;0
LUZ;202301051720;4.3;0
LUZ;202301051730;5.4;0
LUZ;202301051740;3.6;0
LUZ;202301051750;5.0;0
LUZ;202301051800;4.7;0
LUZ;202301051810;2.9;0
LUZ;202301051820;2.2;0
LUZ;202301051830;2.9;0
LUZ;202301051840;2.9;0
LUZ;202301051850;2.9;0
LUZ;202301051900;2.9;0
LUZ;202301051910;3.6;0
LUZ;202301051920;4.0;0
LUZ;202301051930;5.4;0
LUZ;202301051940;4.7;0
LUZ;202301051950;3.6;0
LUZ;202301052000;4.0;0
LUZ;202301052010;2.9;0
LUZ;202301052020;3.2;0
LUZ;202301052030;4.7;0
LUZ;202301052040;5.0;0
LUZ;202301052050;2.9;0
LUZ;202301052100;2.5;0
LUZ;202301052110;1.8;0
LUZ;202301052120;0.7;0
LUZ;202301052130;1.4;0
LUZ;202301052140;1.8;0
LUZ;202301052150;4.3;0
